Tip Matrice,Tip alocare,Nr threads,Timp executie
N=10 M=10000 si n=m=5,Dynamic,2,10.78394
N=10 M=10000 si n=m=5,Dynamic,2,11.87773
N=10 M=10000 si n=m=5,Dynamic,2,10.80988
N=10 M=10000 si n=m=5,Dynamic,2,11.43316
N=10 M=10000 si n=m=5,Dynamic,2,10.97445
N=10 M=10000 si n=m=5,Dynamic,2,11.22837
N=10 M=10000 si n=m=5,Dynamic,2,11.19116
N=10 M=10000 si n=m=5,Dynamic,2,11.47997
N=10 M=10000 si n=m=5,Dynamic,2,10.75561
N=10 M=10000 si n=m=5,Dynamic,2,10.79777
N=10 M=10000 si n=m=5,Dynamic,4,6.94871
N=10 M=10000 si n=m=5,Dynamic,4,7.00583
N=10 M=10000 si n=m=5,Dynamic,4,6.7431
N=10 M=10000 si n=m=5,Dynamic,4,6.79991
N=10 M=10000 si n=m=5,Dynamic,4,7.23952
N=10 M=10000 si n=m=5,Dynamic,4,6.71244
N=10 M=10000 si n=m=5,Dynamic,4,6.65371
N=10 M=10000 si n=m=5,Dynamic,4,7.41231
N=10 M=10000 si n=m=5,Dynamic,4,7.26326
N=10 M=10000 si n=m=5,Dynamic,4,6.76663
N=10 M=10000 si n=m=5,Dynamic,4,6.6643
N=10 M=10000 si n=m=5,Dynamic,4,6.60613
N=10 M=10000 si n=m=5,Dynamic,4,6.70244
N=10 M=10000 si n=m=5,Dynamic,4,6.7555
N=10 M=10000 si n=m=5,Dynamic,4,6.99012
N=10 M=10000 si n=m=5,Dynamic,8,5.16832
N=10 M=10000 si n=m=5,Dynamic,8,4.82556
N=10 M=10000 si n=m=5,Dynamic,8,4.83679
N=10 M=10000 si n=m=5,Dynamic,8,4.87204
N=10 M=10000 si n=m=5,Dynamic,8,4.71886
N=10 M=10000 si n=m=5,Dynamic,8,5.45834
N=10 M=10000 si n=m=5,Dynamic,8,4.69384
N=10 M=10000 si n=m=5,Dynamic,8,4.92614
N=10 M=10000 si n=m=5,Dynamic,8,5.43656
N=10 M=10000 si n=m=5,Dynamic,8,4.72983
N=10 M=10000 si n=m=5,Dynamic,8,4.9888
N=10 M=10000 si n=m=5,Dynamic,8,4.96145
N=10 M=10000 si n=m=5,Dynamic,8,4.60602
N=10 M=10000 si n=m=5,Dynamic,8,4.82336
N=10 M=10000 si n=m=5,Dynamic,8,4.71626
N=10 M=10000 si n=m=5,Dynamic,16,4.50994
N=10 M=10000 si n=m=5,Dynamic,16,4.45805
N=10 M=10000 si n=m=5,Dynamic,16,4.48444
N=10 M=10000 si n=m=5,Dynamic,16,4.42814
N=10 M=10000 si n=m=5,Dynamic,16,4.44192
N=10 M=10000 si n=m=5,Dynamic,16,4.38962
N=10 M=10000 si n=m=5,Dynamic,16,4.45095
N=10 M=10000 si n=m=5,Dynamic,16,4.42692
N=10 M=10000 si n=m=5,Dynamic,16,4.41972
N=10 M=10000 si n=m=5,Dynamic,16,4.42316
