Tip Matrice,Nr threads,Timp executie
N=10 M=10000 si n=m=5,16,11.7768102
N=10 M=10000 si n=m=5,16,12.3109798
N=10 M=10000 si n=m=5,16,11.8006697
N=10 M=10000 si n=m=5,16,11.84836
 N=10000 M=10 si n=m=5,Sequential,13.4986096
 N=10000 M=10 si n=m=5,Sequential,13.2841598
 N=10000 M=10 si n=m=5,Sequential,13.3132304
 N=10000 M=10 si n=m=5,Sequential,12.42273
 N=10000 M=10 si n=m=5,Sequential,13.0189698
N=10000 M=10 si n=m=5,2,14.3600098
N=10000 M=10 si n=m=5,2,14.94007
N=10000 M=10 si n=m=5,2,13.58835
N=10000 M=10 si n=m=5,2,15.22556
N=10000 M=10 si n=m=5,2,14.77257
N=10000 M=10 si n=m=5,2,14.18066
N=10000 M=10 si n=m=5,2,13.40207
N=10000 M=10 si n=m=5,2,15.13817
N=10000 M=10 si n=m=5,2,13.59816
N=10000 M=10 si n=m=5,2,15.47734
N=10000 M=10 si n=m=5,2,14.56445
N=10000 M=10 si n=m=5,2,15.44291
N=10000 M=10 si n=m=5,2,14.94156
N=10000 M=10 si n=m=5,2,16.17374
N=10000 M=10 si n=m=5,2,15.50491
N=10000 M=10 si n=m=5,4,14.90081
N=10000 M=10 si n=m=5,4,14.9291
N=10000 M=10 si n=m=5,4,15.60848
N=10000 M=10 si n=m=5,4,14.68316
N=10000 M=10 si n=m=5,4,14.53395
N=10000 M=10 si n=m=5,4,14.31454
N=10000 M=10 si n=m=5,4,14.02988
N=10000 M=10 si n=m=5,4,14.9139
N=10000 M=10 si n=m=5,4,15.38172
N=10000 M=10 si n=m=5,4,14.90248
N=10000 M=10 si n=m=5,4,15.40956
N=10000 M=10 si n=m=5,4,15.19908
N=10000 M=10 si n=m=5,4,14.24871
N=10000 M=10 si n=m=5,4,15.41038
N=10000 M=10 si n=m=5,4,13.56232
N=10000 M=10 si n=m=5,8,14.9288
N=10000 M=10 si n=m=5,8,15.3688
N=10000 M=10 si n=m=5,8,15.45465
N=10000 M=10 si n=m=5,8,15.58802
N=10000 M=10 si n=m=5,8,16.37437
N=10000 M=10 si n=m=5,8,14.68734
N=10000 M=10 si n=m=5,8,15.93939
N=10000 M=10 si n=m=5,8,15.7398
N=10000 M=10 si n=m=5,8,15.17764
N=10000 M=10 si n=m=5,8,15.48795
N=10000 M=10 si n=m=5,8,16.21187
N=10000 M=10 si n=m=5,8,15.70958
N=10000 M=10 si n=m=5,8,15.1156
N=10000 M=10 si n=m=5,8,15.21929
N=10000 M=10 si n=m=5,8,14.60641
N=10000 M=10 si n=m=5,16,13.43982
N=10000 M=10 si n=m=5,16,14.83297
N=10000 M=10 si n=m=5,16,13.64191
N=10000 M=10 si n=m=5,16,14.17077
N=10000 M=10 si n=m=5,16,14.03039
N=10000 M=10 si n=m=5,16,13.8863
N=10000 M=10 si n=m=5,16,14.45063
N=10000 M=10 si n=m=5,16,14.38026
N=10000 M=10 si n=m=5,16,14.10124
N=10000 M=10 si n=m=5,16,13.86969
N=10000 M=10 si n=m=5,16,14.2679
N=10000 M=10 si n=m=5,16,13.63732
N=10000 M=10 si n=m=5,16,14.07659
N=10000 M=10 si n=m=5,16,14.38285
N=10000 M=10 si n=m=5,16,13.80845
